N,Number of runs,Min,Max,Average
300,1000,273545,277105,274363
301,1000,275357,279527,276212
302,1000,277233,281456,278041
303,1000,279003,283400,279877
304,1000,280966,284930,281703
305,1000,282738,286655,283556
306,1000,284503,288339,285408
307,1000,286460,289526,287259
308,1000,288313,293299,289141
309,1000,290172,294687,291002
310,1000,292102,296131,292877
311,1000,293946,299598,294777
312,1000,295805,301519,296663
313,1000,297747,301889,298562
314,1000,299677,303357,300447
315,1000,301619,306210,302375
316,1000,303439,306899,304273
317,1000,305288,309784,306198
318,1000,307272,312068,308128
319,1000,309227,313412,310057
320,1000,311203,316137,312005
321,1000,313113,317862,313931
322,1000,315057,319012,315893
323,1000,316999,321538,317834
324,1000,319020,322927,319822
325,1000,320981,324211,321782
326,1000,322902,326350,323744
327,1000,324934,331003,325752
328,1000,326879,330979,327744
329,1000,328871,333176,329718
330,1000,330862,335122,331731
331,1000,332791,336929,333706
332,1000,334860,341023,335756
333,1000,336836,340323,337763
334,1000,338967,344058,339766
335,1000,340924,344455,341801
336,1000,342953,346629,343863
337,1000,344957,350155,345885
338,1000,347149,354082,347940
339,1000,349173,352204,349988
340,1000,351236,356313,352060
341,1000,353214,358049,354095
342,1000,355348,359448,356191
343,1000,357425,361591,358273
344,1000,359406,364522,360356
345,1000,361628,365321,362422
346,1000,363616,368033,364526
347,1000,365676,372368,366671
348,1000,367826,373528,368748
349,1000,369890,374271,370852
350,1000,372095,376278,372962
351,1000,374207,378551,375126
352,1000,376283,381174,377266
353,1000,378463,382804,379371
354,1000,380540,385111,381534
355,1000,382656,386677,383681
356,1000,384851,390097,385827
357,1000,387053,392346,387999
358,1000,389256,394558,390207
359,1000,391423,395441,392349
360,1000,393555,398813,394499
361,1000,395841,401020,396729
362,1000,397996,402610,398900
363,1000,400133,404623,401123
364,1000,402249,407553,403290
365,1000,404578,409809,405524
366,1000,406820,412435,407750
367,1000,408966,413932,409990
368,1000,411243,416060,412187
369,1000,413418,417293,414398
370,1000,415731,426439,416674
371,1000,417771,422216,418915
372,1000,420178,425045,421154
373,1000,422458,427096,423417
374,1000,424713,430521,425715
375,1000,426987,431271,427959
376,1000,429229,434028,430240
377,1000,431512,437042,432532
378,1000,433770,439174,434805
379,1000,436068,441433,437147
380,1000,438405,444079,439408
381,1000,440705,445149,441717
382,1000,443052,447419,444029
383,1000,445348,449242,446382
384,1000,447643,455908,448712
385,1000,449948,454886,451017
386,1000,452315,459269,453384
387,1000,454761,460589,455699
388,1000,456977,461738,458080
389,1000,459474,464186,460413
390,1000,461671,466583,462785
391,1000,464087,470636,465161
392,1000,466477,471243,467518
393,1000,468870,473247,469883
394,1000,471220,475896,472274
395,1000,473622,477928,474686
396,1000,476078,480235,477068
397,1000,478432,483443,479464
398,1000,480740,486725,481873
399,1000,483278,489724,484282
400,1000,485593,491408,486727
401,1000,488056,493903,489160
402,1000,490533,496686,491642
403,1000,492999,499467,494039
404,1000,495363,501852,496507
405,1000,497811,504041,498905
406,1000,500360,506375,501443
407,1000,502781,507175,503793
408,1000,505225,509879,506293
409,1000,507722,519743,508840
410,1000,510192,519527,511297
411,1000,512718,518486,513754
412,1000,515227,521767,516237
413,1000,517646,522740,518779
414,1000,520170,525509,521267
415,1000,522676,528920,523820
416,1000,525219,532041,526330
417,1000,527654,532771,528852
418,1000,530239,536605,531381
419,1000,532810,538773,533940
420,1000,535425,541006,536459
421,1000,537888,546311,539000
422,1000,540355,546112,541545
423,1000,543001,548439,544106
424,1000,545578,550226,546710
425,1000,548147,553678,549283
426,1000,550767,555791,551814
427,1000,553196,557756,554429
428,1000,555863,561908,557035
429,1000,558481,566200,559594
430,1000,561112,565531,562205
431,1000,563721,568497,564837
432,1000,566159,571208,567451
433,1000,568896,574118,570058
434,1000,571543,577119,572656
435,1000,574280,579335,575320
436,1000,576691,583137,577963
437,1000,579352,588511,580627
438,1000,582118,586979,583262
439,1000,584674,592828,585931
440,1000,587435,591926,588587
441,1000,590169,596422,591277
442,1000,592760,599921,593948
443,1000,595565,600405,596638
444,1000,598255,604764,599319
445,1000,600835,606674,602029
446,1000,603481,611416,604696
447,1000,606318,613324,607416
448,1000,608925,614903,610097
449,1000,611638,617199,612850
450,1000,614382,620825,615614
451,1000,617094,622414,618294
452,1000,619853,626410,621024
453,1000,622570,627696,623796
454,1000,625366,631929,626565
455,1000,628033,633051,629298
456,1000,630894,637001,632058
457,1000,633652,639036,634831
458,1000,636471,642063,637526
459,1000,639182,645627,640396
460,1000,641875,648736,643162
461,1000,644702,649871,645938
462,1000,647524,652366,648760
463,1000,650285,656036,651541
464,1000,653117,659622,654366
465,1000,655967,666530,657190
466,1000,658759,668784,659988
467,1000,661508,670546,662815
468,1000,664472,672302,665666
469,1000,667256,673100,668468
470,1000,670084,676627,671345
471,1000,672891,681756,674155
472,1000,675724,682356,677033
473,1000,678702,683855,679906
474,1000,681438,687255,682778
475,1000,684352,690116,685634
476,1000,687189,692810,688508
477,1000,690084,697482,691470
478,1000,692952,700113,694320
479,1000,695965,702017,697213
480,1000,698855,704967,700147
481,1000,701774,709083,703037
482,1000,704631,712548,705968
483,1000,707583,715063,708856
484,1000,710496,716324,711857
485,1000,713514,719206,714725
486,1000,716384,723586,717745
487,1000,719395,725997,720632
488,1000,722287,730763,723596
489,1000,725372,732089,726573
490,1000,728196,741594,729502
491,1000,731168,739118,732559
492,1000,734182,746327,735482
493,1000,737180,744712,738429
494,1000,740139,745539,741430
495,1000,743183,749021,744437
496,1000,746072,752097,747469
497,1000,749102,754732,750470
498,1000,752103,757486,753485
499,1000,755082,761577,756514
